,current_dewpoint_f,current_humidity,current_temp_f,lat,lon,p_0_3_um,p_0_3_um_b,p_0_5_um,p_0_5_um_b,p_10_0_um,p_10_0_um_b,p_1_0_um,p_1_0_um_b,p_2_5_um,p_2_5_um_b,p_5_0_um,p_5_0_um_b,pm10_0_atm,pm10_0_atm_b,pm10_0_cf_1,pm10_0_cf_1_b,pm1_0_atm,pm1_0_atm_b,pm1_0_cf_1,pm1_0_cf_1_b,pm2_5_atm,pm2_5_atm_b,pm2_5_cf_1,pm2_5_cf_1_b,timestamp,nicename,SensorId,Adc,response_date,key2_response_b,wlstate,pm2.5_aqi,ts_s_latency_b,DateTime,httpsuccess,key2_count_b,key2_response_date_b,period,hardwareversion,httpsends,memcs,pressure,key2_response,version,Geo,status_6,status_5,status_8,key1_response,status_7,Mem,pm2.5_aqi_color,status_9,key1_count,ts_latency_b,key1_response_date,status_0,Id,status_2,status_1,status_4,status_3,pm2.5_aqi_b,loggingrate,latency,key1_count_b,memfrag,key1_response_b,key2_count,hardwarediscovered,place,rssi,key2_response_date,pm2.5_aqi_color_b,pa_latency,key1_response_date_b,uptime,ts_latency,ts_s_latency,response,location,memfb,timestamp-iso,status_10,response_b,response_date_b,latency_b
28,58,30,94,35.041462,-85.296257,2319.92,2432.68,658.22,712.18,0.42,0.18,107.53,142.38,5.5,5.38,1.54,0.52,18.82,21.0,18.82,21.0,12.85,13.37,12.85,13.37,17.83,20.6,17.83,20.6,1559404914000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559404794.0,200.0,Connected,63.0,725.0,2019/06/01T16:01:54z,4482.0,143268.0,1559404914.0,120.0,2.0,4482.0,976.0,988.71,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,19360.0,"rgb(255,253,0)",2.0,143172.0,737.0,1559404911.0,2.0,1486.0,2.0,2.0,2.0,2.0,69.0,15.0,58.0,143360.0,21.0,200.0,143312.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-55.0,1559404912.0,"rgb(255,248,0)",530.0,1559404913.0,89169.0,844.0,722.0,200.0,"35.041462, -85.296257",15208.0,2019-06-01 16:01:54,,,,
29,59,30,95,35.041462,-85.296257,2504.39,2517.84,709.42,749.27,0.43,0.31,118.77,135.14,8.06,9.62,1.22,3.03,20.83,23.2,20.83,23.2,13.49,14.11,13.49,14.11,19.96,21.17,19.96,21.17,1559405154000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559405036.0,200.0,Connected,68.0,729.0,2019/06/01T16:05:54z,4494.0,143270.0,1559405154.0,120.0,2.0,4494.0,976.0,988.67,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,249,0)",2.0,143174.0,788.0,1559405151.0,2.0,1490.0,2.0,2.0,2.0,2.0,70.0,15.0,57.0,143362.0,30.0,200.0,143314.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-56.0,1559405152.0,"rgb(255,247,0)",652.0,1559405153.0,89409.0,908.0,707.0,200.0,"35.041462, -85.296257",13144.0,2019-06-01 16:05:54,,,,
30,58,30,95,35.041462,-85.296257,2597.78,2510.45,728.19,736.5,0.49,0.24,123.62,133.67,5.51,7.24,1.28,1.27,20.49,21.47,20.49,21.47,14.43,13.74,14.43,13.74,19.69,20.56,19.69,20.56,1559405754000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559405635.0,200.0,Connected,67.0,734.0,2019/06/01T16:15:54z,4524.0,143275.0,1559405754.0,120.0,2.0,4524.0,976.0,988.54,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,250,0)",2.0,143179.0,759.0,1559405751.0,2.0,1500.0,2.0,2.0,2.0,2.0,69.0,15.0,75.0,143367.0,30.0,200.0,143319.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-55.0,1559405752.0,"rgb(255,248,0)",618.0,1559405753.0,90009.0,992.0,777.0,200.0,"35.041462, -85.296257",13152.0,2019-06-01 16:15:54,,,,
31,57,29,95,35.041462,-85.296257,2600.6,2637.92,751.96,774.54,0.51,0.55,130.74,147.28,8.12,8.31,2.26,1.29,22.47,23.45,22.47,23.45,14.44,14.69,14.44,14.69,20.94,22.62,20.94,22.62,1559406834000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559406714.0,200.0,Connected,70.0,739.0,2019/06/01T16:33:54z,4579.0,143284.0,1559406834.0,120.0,2.0,4579.0,976.0,988.41,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,247,0)",2.0,143188.0,744.0,1559406831.0,2.0,1518.0,2.0,2.0,2.0,2.0,73.0,15.0,62.0,143376.0,30.0,200.0,143328.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-57.0,1559406832.0,"rgb(255,242,0)",564.0,1559406833.0,91089.0,901.0,779.0,200.0,"35.041462, -85.296257",13128.0,2019-06-01 16:33:54,,,,
32,58,29,96,35.041462,-85.296257,2498.43,2398.11,705.49,695.84,0.25,0.0,118.29,124.16,6.36,6.87,1.09,0.77,20.26,20.65,20.26,20.65,13.55,13.44,13.55,13.44,19.51,19.84,19.51,19.84,1559407314000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559407194.0,200.0,Connected,67.0,740.0,2019/06/01T16:41:54z,4603.0,143288.0,1559407314.0,120.0,2.0,4603.0,976.0,988.42,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,250,0)",2.0,143192.0,904.0,1559407311.0,2.0,1526.0,2.0,2.0,2.0,2.0,67.0,15.0,49.0,143380.0,29.0,200.0,143332.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-56.0,1559407312.0,"rgb(255,250,0)",584.0,1559407313.0,91569.0,881.0,904.0,200.0,"35.041462, -85.296257",13416.0,2019-06-01 16:41:54,,,,
33,58,29,96,35.041462,-85.296257,2548.59,2405.91,720.73,717.83,0.33,0.15,116.99,133.97,6.39,9.61,0.9,2.55,20.57,22.15,20.57,22.15,13.86,13.85,13.86,13.85,19.8,20.52,19.8,20.52,1559407434000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559407314.0,200.0,Connected,67.0,847.0,2019/06/01T16:43:54z,4609.0,143289.0,1559407434.0,120.0,2.0,4609.0,976.0,988.06,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,250,0)",2.0,143193.0,733.0,1559407431.0,2.0,1528.0,2.0,2.0,2.0,2.0,69.0,15.0,47.0,143381.0,28.0,200.0,143333.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-55.0,1559407432.0,"rgb(255,248,0)",564.0,1559407433.0,91689.0,883.0,750.0,200.0,"35.041462, -85.296257",13504.0,2019-06-01 16:43:54,,,,
34,58,29,96,35.041462,-85.296257,2550.7,2542.22,728.01,758.62,0.58,0.16,113.81,136.06,6.58,8.28,1.01,2.22,20.48,22.83,20.48,22.83,13.91,14.36,13.91,14.36,19.74,21.48,19.74,21.48,1559407554000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559407434.0,200.0,Connected,67.0,744.0,2019/06/01T16:45:54z,4615.0,143290.0,1559407554.0,120.0,2.0,4615.0,976.0,988.4,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,18960.0,"rgb(255,250,0)",2.0,143194.0,730.0,1559407551.0,2.0,1530.0,2.0,2.0,2.0,2.0,71.0,15.0,52.0,143382.0,30.0,200.0,143334.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-55.0,1559407552.0,"rgb(255,245,0)",608.0,1559407553.0,91809.0,868.0,880.0,200.0,"35.041462, -85.296257",13256.0,2019-06-01 16:45:54,,,,
35,58,29,96,35.041462,-85.296257,2495.16,2412.84,711.87,715.19,0.0,0.0,123.68,108.83,5.75,4.75,0.24,2.25,20.14,20.09,20.14,20.09,13.66,13.62,13.66,13.62,19.8,18.67,19.8,18.67,1559407914000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559407794.0,200.0,Connected,67.0,745.0,2019/06/01T16:51:54z,4633.0,143293.0,1559407914.0,120.0,2.0,4633.0,976.0,988.3,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,19128.0,"rgb(255,250,0)",2.0,143197.0,768.0,1559407911.0,2.0,1536.0,2.0,2.0,2.0,2.0,65.0,15.0,62.0,143385.0,32.0,200.0,143337.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-57.0,1559407912.0,"rgb(255,252,0)",883.0,1559407913.0,92169.0,829.0,778.0,200.0,"35.041462, -85.296257",12856.0,2019-06-01 16:51:54,,,,
71,58,31,94,35.041462,-85.296257,2500.65,2582.28,707.7,759.22,0.0,0.84,122.2,126.99,8.01,8.03,1.04,2.48,20.3,23.0,20.3,23.0,13.14,14.63,13.14,14.63,19.59,21.03,19.59,21.03,1559405274000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559405154.0,200.0,Connected,67.0,742.0,2019/06/01T16:07:54z,4500.0,143271.0,1559405274.0,120.0,2.0,4500.0,976.0,988.6,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,19640.0,"rgb(255,250,0)",2.0,143175.0,740.0,1559405271.0,2.0,1492.0,2.0,2.0,2.0,2.0,70.0,15.0,48.0,143363.0,22.0,200.0,143315.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-57.0,1559405272.0,"rgb(255,247,0)",567.0,1559405273.0,89529.0,882.0,736.0,200.0,"35.041462, -85.296257",15216.0,2019-06-01 16:07:54,,,,
72,58,30,94,35.041462,-85.296257,2502.69,2428.69,712.47,705.23,0.53,1.03,123.71,124.75,9.33,11.34,1.37,4.19,21.07,22.11,21.07,22.11,13.49,13.22,13.49,13.22,20.03,19.62,20.03,19.62,1559405394000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559405274.0,200.0,Connected,68.0,816.0,2019/06/01T16:09:54z,4506.0,143272.0,1559405394.0,120.0,2.0,4506.0,976.0,988.61,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,19472.0,"rgb(255,249,0)",2.0,143176.0,748.0,1559405391.0,2.0,1494.0,2.0,2.0,2.0,2.0,67.0,15.0,51.0,143364.0,22.0,200.0,143316.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-55.0,1559405392.0,"rgb(255,250,0)",581.0,1559405393.0,89649.0,885.0,751.0,200.0,"35.041462, -85.296257",15216.0,2019-06-01 16:09:54,,,,
73,59,30,95,35.041462,-85.296257,2482.1,2436.95,705.44,716.97,0.0,0.0,119.43,124.25,6.97,6.79,0.44,0.98,19.84,20.51,19.84,20.51,13.59,13.73,13.59,13.73,18.78,19.49,18.78,19.49,1559405875000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559405754.0,200.0,Connected,65.0,753.0,2019/06/01T16:17:55z,4531.0,143276.0,1559405875.0,120.0,2.0,4531.0,976.0,988.53,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,19776.0,"rgb(255,252,0)",2.0,143180.0,742.0,1559405872.0,2.0,1502.0,2.0,2.0,2.0,2.0,67.0,15.0,50.0,143368.0,10.0,200.0,143320.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-57.0,1559405873.0,"rgb(255,250,0)",529.0,1559405874.0,90130.0,918.0,915.0,200.0,"35.041462, -85.296257",17912.0,2019-06-01 16:17:55,,,,
74,57,28,95,35.041462,-85.296257,2386.63,2270.51,669.83,669.3,0.19,0.0,124.19,124.82,3.87,10.63,0.41,1.67,19.27,20.7,19.27,20.7,12.57,12.88,12.57,12.88,18.97,19.78,18.97,19.78,1559406594000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559406474.0,200.0,Connected,65.0,746.0,2019/06/01T16:29:54z,4567.0,143282.0,1559406594.0,120.0,2.0,4567.0,976.0,988.45,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,19528.0,"rgb(255,252,0)",2.0,143186.0,771.0,1559406591.0,2.0,1514.0,2.0,2.0,2.0,2.0,67.0,15.0,55.0,143374.0,22.0,200.0,143326.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-57.0,1559406592.0,"rgb(255,250,0)",631.0,1559406593.0,90849.0,896.0,743.0,200.0,"35.041462, -85.296257",15192.0,2019-06-01 16:29:54,,,,
75,58,28,96,35.041462,-85.296257,2586.49,2429.33,741.31,721.13,0.24,0.45,137.06,123.09,7.93,2.15,1.66,0.6,22.24,19.66,22.24,19.66,14.24,14.18,14.24,14.18,21.03,19.06,21.03,19.06,1559407194000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559407074.0,200.0,Connected,70.0,750.0,2019/06/01T16:39:54z,4597.0,143287.0,1559407194.0,120.0,2.0,4597.0,976.0,988.43,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,19472.0,"rgb(255,247,0)",2.0,143191.0,737.0,1559407191.0,2.0,1524.0,2.0,2.0,2.0,2.0,66.0,15.0,60.0,143379.0,22.0,200.0,143331.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-57.0,1559407192.0,"rgb(255,251,0)",565.0,1559407193.0,91449.0,862.0,766.0,200.0,"35.041462, -85.296257",15168.0,2019-06-01 16:39:54,,,,
113,58,30,94,35.041462,-85.296257,2451.51,2599.52,704.3,756.68,0.25,0.15,137.99,131.18,9.03,9.51,1.8,2.58,22.14,22.42,22.14,22.42,13.34,14.12,13.34,14.12,20.86,20.97,20.86,20.97,1559405514000.0,mlk-magnolia,84:f3:eb:45:1a:53,0.0,1559405394.0,200.0,Connected,69.0,738.0,2019/06/01T16:11:54z,4512.0,143273.0,1559405514.0,120.0,2.0,4512.0,976.0,988.65,200.0,4.02,PurpleAir-1a53,1.0,2.0,2.0,200.0,0.0,19776.0,"rgb(255,248,0)",2.0,143177.0,816.0,1559405511.0,2.0,1496.0,2.0,2.0,2.0,2.0,70.0,15.0,54.0,143365.0,23.0,200.0,143317.0,2.0+OPENLOG+15931 MB+DS3231+BME280+PMSX003-B+PMSX003-A,outside,-54.0,1559405512.0,"rgb(255,247,0)",478.0,1559405513.0,89769.0,855.0,767.0,200.0,"35.041462, -85.296257",15216.0,2019-06-01 16:11:54,,,,
